,3,4,5,6
8,0,2000,2000,0
9,0,0,0,0
10,0,0,0,0
11,672,500,-172,0
12,2080,2340,260,0
13,0,0,0,0
14,0,0,0,0
15,0,500,500,0
16,8000,8000,0,0
17,2000,1900,-100,0
18,0,0,0,0
19,7200,0,-7200,0
20,5000,5000,0,NO
21,300,0,-300,0
22,1300,1300,0,0
23,0,0,0,0
24,6240,6500,260,0
25,600,600,0,0
26,500,0,-500,0
27,1400,2000,600,0
28,6000,6600,600,NO
29,3500,3850,350,0
30,720,720,0,0
31,0,0,0,0
32,600,400,-200,NO
33,1200,1200,0,NO
34,0,0,0,0
35,3000,3000,0,0
36,2000,1800,-200,NO
37,0,4000,0,NO
38,100,0,-100,0
39,2860,3000,140,0
40,1500,800,-700,0
41,400,400,0,NO
42,0,900,900,0
43,1560,3380,1820,0
44,0,0,0,0
45,2400,2400,0,NO
46,2340,2340,0,0
47,4000,6600,2600,NO
48,0,0,0,0
49,0,0,0,0
50,300,360,60,NO
51,3276,0,-3276,0
52,2000,0,-2000,0
53,550,1000,450,0
54,6000,6000,0,NO
55,0,0,0,0
56,500,500,0,NO
57,0,0,0,0
58,0,0,0,0
59,5000,3600,-1400,0
60,6000,6600,600,0
61,2000,0,-2000,0
62,0,0,0,0
63,1200,1200,0,0
64,1200,1200,0,0
65,100,100,0,NO
66,0,0,0,0
67,6000,6200,200,0
68,3000,3000,0,0
69,3900,3900,0,0
70,600,0,-600,0
71,520,0,-520,0
72,0,2600,2600,0
73,0,0,0,0
74,0,0,0,0
75,700,0,-700,0
76,1560,900,-660,0
77,1300,0,-1300,0
78,9000,9000,0,NO
79,3000,3000,0,NO
80,1200,2000,800,0
81,2000,3000,1000,NO
82,240,480,240,0
83,1920,780,-1140,0
84,600,600,0,0
85,0,0,0,0
86,2000,1000,-1000,0
87,500,0,-500,0
88,0,0,0,0
89,2000,1700,-300,0
90,3000,3000,0,0
91,300,300,0,NO
92,230,230,0,0
93,1200,0,-1200,0
94,240,0,-240,0
95,12,12,0,0
96,600,600,0,NO
97,0,0,0,0
98,3485,3536,51,NO
99,500,0,-500,0
100,0,0,0,0
101,3172,3280,108,0
102,3650,3900,250,0
103,1000,500,-500,0
104,600,600,0,NO
105,0,0,0,0
106,0,0,0,0
107,1200,2000,800,NO
108,600,600,0,0
109,0,0,0,0
110,0,0,0,0
111,2500,2500,0,0
112,4000,6000,2000,0
113,0,600,600,NO
114,600,600,0,0
115,2000,2000,0,0
116,0,5,5,0
117,0,0,0,0
118,1000,0,-1000,0
119,0,0,0,0
120,5000,5000,0,NO
121,3000,5000,2000,NO
122,0,120,120,0
123,0,0,0,0
124,2000,2000,0,NO
125,1500,1500,0,NO
126,1300,1300,0,NO
127,200,100,-100,NO
128,600,0,-600,0
129,206,260,54,NO
130,0,0,0,0
131,1100,1100,0,0
132,0,0,0,0
133,0,500,500,0
134,0,0,0,0
135,0,0,0,0
136,1000,1000,0,0
137,0,0,0,0
138,0,0,0,0
139,8000,9000,1000,NO
140,0,0,0,0
141,0,0,0,0
142,6900,6720,-180,NO
143,1500,1500,0,NO
144,0,500,500,NO
145,3000,3000,0,NO
146,0,0,0,0
147,2400,2000,-400,NO
148,500,5000,4500,0
149,120,240,120,NO
150,900,0,-900,0
151,0,0,0,0
152,0,0,0,0
153,300,300,0,0
154,7500,0,-7500,0
155,0,0,0,0
156,1200,1000,-200,NO
157,35,40,5,NO
158,3000,0,-3000,0
159,0,400,400,NO
160,0,2000,2000,0
161,2080,2080,0,0
162,0,0,0,0
163,0,10200,10200,0
164,600,600,0,0
165,0,0,0,0
166,3600,4000,400,0
167,2500,0,-2500,0
168,0,0,0,0
169,0,0,0,0
170,420,540,120,0
171,0,0,0,0
172,2000,0,-2000,0
173,0,0,0,Cancelled
174,0,480,480,0
175,16000,16500,500,NO
176,0,0,0,0
177,2600,4000,1400,NO
178,8000,9000,1000,NO
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,1000,1000,0,0
183,5500,5500,0,0
184,0,0,0,0
185,2000,2500,500,0
186,0,0,0,0
187,0,0,0,0
188,1500,1000,-500,NO
189,0,0,0,0
190,2000,2600,600,NO
191,10000,10000,0,0
192,500,250,-250,NO
193,0,0,0,0
194,500,1000,500,NO
195,2208,2088,-120,NO
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,600,500,-100,NO
201,0,1000,1000,0
202,0,0,0,0
203,0,0,0,0
204,500,500,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,1200,1200,NO
209,5000,5000,0,NO
210,4000,5000,1000,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,1320,1380,60,0
217,0,0,0,0
218,0,700,700,0
219,0,600,600,0
220,0,0,0,0
221,0,400,400,NO
222,0,0,0,0
223,1000,1000,0,0
224,780,0,-780,0
225,400,450,50,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,3500,4500,1000,NO
231,840,720,-120,NO
232,260,0,-260,0
233,0,0,0,0
234,2500,0,-2500,0
235,3000,3000,0,0
236,2750,2750,0,0
237,325,300,-25,0
238,240,0,-240,0
239,8000,0,-8000,0
240,8000,8000,0,0
241,2000,2000,0,0
242,500,0,-500,0
243,4000,5000,1000,NO
244,0,0,0,0
245,0,0,0,0
246,400,500,100,0
247,600,600,0,NO
248,1200,1500,300,NO
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,100,50,-50,0
255,0,0,0,0
256,0,0,0,0
257,0,0,0,0
258,0,0,450,0
259,100,0,-100,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,500,0,-500,0
271,0,0,0,0
272,800,0,-800,0
273,0,0,0,0
274,75,75,0,NO
275,0,0,0,0
276,1200,1200,0,NO
277,0,0,0,0
278,0,1200,1200,NO
279,3600,4200,600,NO
280,600,720,120,NO
281,4000,0,-4000,0
282,50,0,-50,0
283,500,300,-200,NO
284,750,0,-750,0
285,500,0,-500,0
286,400,0,-400,0
287,480,520,40,NO
288,1000,0,-1000,0
289,1000,3600,2600,0
290,150,150,0,0
291,0,240,240,NO
292,0,110,110,NO
293,0,260,260,NO
294,0,500,500,NO
295,0,200,200,NO
296,3600,4000,400,NO
297,1000,1000,0,NO
298,0,4000,4000,NO
299,0,1200,1200,NO
300,0,520,520,NO
301,0,2500,2500,NO
302,9800,2100,-7700,NO
303,0,50,50,NO
304,0,1200,1200,NO
305,0,1000,1000,NO
306,4200,4400,200,NO
307,0,500,500,0
308,372416,368526,-7440,0
309,166,161,0,0
310,0,0,0,0
311,0,0,0,0
